#{"t_start": 1751263735.6251817, "env_id": "None"}
r,l,t
-35.07,61,2.765953
-46.07,60,3.169194
37.507812,65,3.622657
32.535849,57,4.044048
32.577617,153,4.957056
33.0,89,5.614449
-35.16,136,6.557019
35.160147,64,6.936976
-35.57,60,7.356988
38.318644,56,7.715358
-41.01,32,7.985335
-35.04,72,8.418932
-35.09,51,8.72448
40.116608,43,9.003631
32.571429,73,9.557829
-37.77,47,9.900348
-35.71,35,10.188496
-38.01,58,10.653613
32.705426,51,11.266739
-32.1,84,11.880505
34.625986,46,12.230703
38.475278,57,12.653043
-32.45,52,13.081262
-35.2,78,13.658154
32.6,59,14.182312
36.838912,75,14.701241
-32.94,58,15.335502
-33.0,66,15.769727
36.663445,67,16.20873
-35.79,56,16.63427
-37.28,51,17.043319
34.614965,68,17.555084
32.806897,84,18.123008
40.025887,56,18.506437
-35.3,127,19.67178
37.80282,55,20.091766
-35.23,41,20.544571
-35.57,68,21.017136
32.449782,62,21.45622
-35.46,72,21.886369
-35.23,79,22.353803
37.894498,31,22.726246
35.201715,77,23.21904
32.046322,50,23.536211
32.28,69,23.980605
39.78068,66,24.393393
32.972222,60,24.757272
40.189684,60,25.163473
39.669909,47,25.4867
-32.75,83,25.996763
34.714608,65,26.437856
40.685577,49,26.787095
35.605166,71,27.216009
33.0,47,27.763452
-33.0,67,28.11463
-41.05,44,28.390975
36.960651,55,28.738003
34.885809,73,29.115582
35.379936,36,29.341857
-35.31,83,29.790166
37.35809,55,30.106936
-32.08,64,30.457052
35.065292,44,30.794206
-35.14,50,31.124415
38.74385,74,31.509703
32.100775,85,31.945306
38.397757,37,32.176837
37.708608,67,32.536418
-42.58,65,32.931999
-37.6,64,33.286638
34.461708,47,33.592424
32.372624,113,34.231493
32.369919,93,34.706547
-32.48,53,35.002015
32.130952,47,35.288453
-36.92,77,35.692848
-34.93,55,35.971052
42.737545,65,36.564757
-35.2,58,36.898695
-35.84,80,37.307267
32.179487,66,37.655415
35.151163,49,37.963037
32.157692,52,38.303346
-32.88,64,38.683324
-35.78,82,39.170379
-37.89,66,39.545626
38.368953,45,39.794364
-38.34,63,40.18908
-41.61,37,40.432052
34.600989,42,40.67782
37.277052,39,40.97436
-36.94,59,41.345639
37.843787,93,41.837898
37.249995,63,42.202512
32.785714,93,42.702104
-34.72,82,43.133435
-32.76,35,43.38866
38.392751,97,43.955752
32.748634,75,44.383818
32.26129,70,44.750434
-35.06,220,45.766332
34.996393,46,46.041687
37.972336,102,46.560439
38.451362,61,47.295619
40.330365,63,47.624573
32.594891,58,47.974976
-38.04,77,48.404482
-35.08,62,48.750802
40.627498,56,49.044192
-38.07,74,49.452015
38.135802,30,49.674308
32.265455,58,50.056158
37.471906,61,50.449325
36.949908,52,50.791983
37.361809,41,51.078509
-35.19,205,51.97916
34.324141,66,52.391706
37.557339,70,52.831011
35.797149,67,53.16717
32.207692,99,53.710596
35.56899,61,54.108611
-42.05,46,54.395224
35.100952,52,54.734495
-32.58,68,55.135144
-32.22,71,55.508572
32.411765,47,55.854577
-33.0,93,56.318259
32.487085,132,57.010396
46.091,48,57.327396
38.35436,61,57.660432
34.953498,49,58.045832
-32.31,58,58.361216
-35.31,63,58.709908
-32.28,55,59.067255
32.082759,51,59.38764
44.417652,46,59.69011
34.958799,48,60.020854
-34.71,58,60.380887
-35.1,81,61.408256
-32.85,69,61.820496
-34.75,89,62.264085
-32.22,58,62.578271
32.763975,61,62.939737
40.891601,42,63.207109
35.561837,46,63.483446
36.932686,56,63.795011
35.221818,73,64.240519
35.468635,46,64.54208
37.471464,45,64.807689
34.137833,44,65.061857
34.744399,82,65.48974
42.371583,43,65.789981
-32.45,37,66.042618
-37.33,64,66.661288
37.782222,39,67.21441
39.390175,59,68.081955
32.828326,41,68.667273
44.393054,40,69.231167
43.081355,39,69.817838
34.860769,40,70.409313
35.41723,84,71.551099
33.0,73,72.500979
-42.57,70,73.455391
43.552299,41,74.024644
37.902677,77,75.033494
-32.2,50,75.729215
38.553085,38,76.250469
35.502075,33,76.724779
-33.0,81,77.779328
35.153752,95,79.026893
35.525862,41,79.607199
-40.07,60,80.363736
35.804878,48,81.029665
43.89987,38,81.576032
40.112209,49,82.223628
-34.99,77,83.268738
-32.26,78,84.287175
32.302721,112,85.729783
32.211538,67,86.620775
-32.67,84,87.703897
35.747331,45,88.325925
41.235517,76,89.511472
32.5,44,90.174919
32.416422,44,90.856797
33.0,50,91.625947
35.003435,111,93.223563
37.704594,49,93.996401
-32.12,41,95.130637
35.523775,45,95.771279
-32.26,65,96.686978
43.432757,26,97.089587
37.764869,49,97.796684
37.514493,44,98.446006
39.718245,47,99.194758
-37.92,58,100.132138
43.509516,39,100.775497
35.337539,71,101.888463
34.815544,36,102.463033
35.033987,56,103.31136
32.937931,107,104.805974
37.318246,55,105.777422
-32.75,61,106.689849
36.0,75,107.835457
-32.44,58,108.706007
37.788625,68,109.767014
40.369598,38,110.355037
35.666667,67,111.347422
37.569625,46,112.072368
-38.15,51,112.840754
-35.74,135,114.779604
-34.9,93,116.132902
32.148649,46,116.960363
-37.7,69,117.958448
-35.76,77,119.125982
32.940945,67,120.163261
38.02773,37,120.728317
36.0,47,121.440181
-32.49,39,122.074209
-32.13,58,122.96261
43.322908,41,123.649198
-39.67,54,124.465733
-34.81,82,125.775285
38.362834,37,126.443887
33.0,55,127.35989
35.036437,41,128.039664
40.545313,35,128.734773
32.255034,70,129.795008
-40.58,39,130.414194
37.030419,54,131.239117
35.622641,58,132.122107
39.530438,47,132.849892
39.208664,64,133.799526
-32.24,65,134.775422
43.813224,21,135.152371
-32.74,86,136.557712
37.708131,39,137.236285
40.732822,42,137.931068
-32.4,58,138.801153
32.957704,48,139.524271
38.106769,106,141.130803
41.830571,44,141.915182
35.340164,45,142.605599
36.699589,51,143.367574
38.387622,97,144.883059
34.880456,42,145.56186
32.509579,92,147.087481
43.373817,52,147.871134
-32.68,64,148.834481
35.882129,47,149.553352
37.715551,50,151.163856
-32.38,51,152.027948
42.701155,37,152.62058
32.212,66,153.677908
-32.71,78,155.010021
-33.0,125,156.880882
32.197183,81,158.158759
-32.84,68,159.232105
38.410924,52,160.015657
38.346205,38,160.59751
40.452734,82,161.764556
37.061883,52,162.527652
33.0,58,163.513783
-39.83,58,164.423908
-37.2,68,165.566635
33.0,56,166.420147
42.725249,46,167.113874
32.870629,60,168.077734
40.180672,44,168.867746
-35.77,54,169.692455
35.322266,42,170.319198
37.802735,78,171.428332
-32.47,64,172.398817
38.048616,47,173.12757
41.057684,50,173.899038
35.519435,36,174.438159
-35.01,62,175.363279
40.492807,37,175.920221
-32.74,49,176.667127
-32.43,62,177.571877
32.315972,62,178.477931
-40.28,57,179.307041
-33.0,119,181.682352
41.347656,52,182.675761
-32.92,67,183.81021
37.459832,44,184.589812
43.169668,46,185.367924
-34.91,86,186.712819
43.00653,33,187.293601
46.264143,69,188.346127
42.826022,46,189.071921
32.022727,64,190.035345
45.568254,39,190.653608
35.903614,58,191.549186
-39.58,41,192.193008
-32.74,154,194.426183
-32.27,49,195.184536
-35.12,51,195.970624
-34.97,79,197.139432
38.218509,32,197.668074
38.760664,43,198.331015
-32.49,66,199.353686
-32.55,78,200.516809
35.227941,90,201.832975
37.860497,62,202.808083
37.185167,45,203.521968
-32.7,53,204.554501
-38.14,109,206.31779
-33.0,48,207.132475
-33.0,97,208.618919
-40.44,30,209.137051
